Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Depreciation & Amortization,30881000.0,26696000.0,17813000.0,17953000.0,16684000.0,14591000.0,15235000.0,13142000.0,13274000.0,13408000.0,15541000.0
Stock-based compensation,4350000.0,4962000.0,5023000.0,4294000.0,1676000.0,4980000.0,1353000.0,3768000.0,3805000.0,3845000.0,2398000.0
Operating Cash Flow,73346000.0,64925000.0,63439000.0,80324000.0,64039000.0,70299000.0,60181000.0,43666000.0,56337000.0,21401000.0,39444000.0
Capital Expenditure,-31159000.0,-22423000.0,-24351000.0,-17468000.0,-22495000.0,-18714000.0,-14076000.0,-4534000.0,-173000.0,4745000.0,-4599000.0
Acquisitions and disposals,-127924000.0,-10397000.0,-153814000.0,-13700000.0,-57149000.0,-23075000.0,-39613000.0,0.0,-26603000.0,0.0,-5617000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-49671000.0,-32265000.0,-179051000.0,-28782000.0,-78516000.0,-33163000.0,-52687000.0,8584000.0,-28249000.0,5672000.0,-7158000.0
Issuance (repayment) of debt,4800000.0,-1288000.0,99500000.0,-10000000.0,58000000.0,-5000000.0,-785000.0,-1600000.0,-41700000.0,-1000000.0,-40661000.0
Issuance (buybacks) of shares,-32265000.0,-1737000.0,-6958000.0,-4694000.0,-9660000.0,-6692000.0,-8230000.0,-5205000.0,-4895000.0,-698000.0,-831000.0
Dividend payments,-9826000.0,-8888000.0,-7852000.0,-6846000.0,-5820000.0,-4793000.0,-3891000.0,-3383000.0,-2875000.0,-2490000.0,-8384000.0
Financing Cash Flow,-38201000.0,-11913000.0,84690000.0,-20745000.0,44608000.0,-14835000.0,-10916000.0,-9539000.0,-49223000.0,-4188000.0,-49876000.0
Effect of forex changes on cash,-1931000.0,289000.0,-2500000.0,-4937000.0,-8263000.0,895000.0,-263000.0,-2369000.0,1912000.0,1761000.0,-2083000.0
Net cash flow / Change in cash,-16457000.0,21036000.0,-33422000.0,25860000.0,21868000.0,23196000.0,-3685000.0,40342000.0,-19223000.0,24646000.0,-19673000.0
Free Cash Flow,42187000.0,42502000.0,39088000.0,62856000.0,41544000.0,51585000.0,46105000.0,39132000.0,56164000.0,26146000.0,34845000.0
Net Cash/Marketcap,-0.1119,-0.0634,-0.0895,0.0282,-0.0055,0.0307,0.0014,0.0088,-0.0971,-0.1887,-0.5952
