Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,10787000.0,10753000.0,10509000.0,9887000.0,10230000.0,10061000.0,9684000.0,7521000.0
Stock-based compensation,4302000.0,5091000.0,5313000.0,5413000.0,8781000.0,4426000.0,1654000.0,1064000.0
Operating Cash Flow,-8654000.0,-4606000.0,-578000.0,5359000.0,6648000.0,-13688000.0,-25879000.0,-24153000.0
Capital Expenditure,3593000.0,6118000.0,13216000.0,21956000.0,13241000.0,-3329000.0,-10236000.0,-36304000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4026000.0
Investing Cash flow,-3593000.0,-6118000.0,-13216000.0,-21956000.0,-13241000.0,-3329000.0,-9785000.0,-31872000.0
Issuance (repayment) of debt,-0.0,-0.0,-656000.0,-0.0,-18849000.0,18120000.0,26186000.0,44721000.0
Issuance (buybacks) of shares,-3327000.0,-10694000.0,-18086000.0,-32804000.0,-49717000.0,0.0,5000.0,31000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Financing Cash Flow,4880000.0,3332000.0,-924000.0,-318000.0,54738000.0,17248000.0,25766000.0,40466000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-7367000.0,-7392000.0,-14718000.0,-16915000.0,48145000.0,231000.0,-9898000.0,-15559000.0
Free Cash Flow,-12247000.0,-10724000.0,-13794000.0,-16597000.0,-6593000.0,-17017000.0,-36115000.0,-60457000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.2494,0.2494,0.2494
