Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,236000.0,508000.0,399000.0,1272000.0
Revenue Growth,-0.5354,0.2732,-0.6863,
Cost of Revenue,0.0,0.0,200000.0,751000.0
Gross Profit,236000.0,508000.0,199000.0,521000.0
R&D Expenses,9846000.0,11556000.0,5638000.0,2766000.0
SG&A Expense,18505000.0,14741000.0,6670000.0,3569000.0
Operating Expenses,28351000.0,26297000.0,12308000.0,6335000.0
Operating Income,-28115000.0,-25789000.0,-12109000.0,-5814000.0
Interest Expense,-264000.0,1000.0,5000.0,261000.0
Earnings before Tax,-27897000.0,-25980000.0,-12086000.0,-5889000.0
Income Tax Expense,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,-27897000.0,-25980000.0,-12086000.0,-5889000.0
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,-27897000.0,-25980000.0,-12086000.0,-5889000.0
EPS,-0.91,-1.12,-0.62,-0.88
EPS Diluted,-0.91,-1.12,-0.62,-0.88
Weighted Average Shs Out,32572359.0,27693130.0,25660606.0,25661000.0
Weighted Average Shs Out (Dil),30683421.0,23153661.0,19600000.0,6725740.0
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,1.0,1.0,0.4987,0.4096
EBITDA Margin,-114.746,-50.055,-29.414,-4.309
EBIT Margin,-119.3263,-51.1398,-30.2782,-4.4245
Profit Margin,-118.208,-51.142,-30.291,-4.63
Free Cash Flow margin,-93.6398,-26.7008,-49.2757,-5.783
EBITDA,-27080000.0,-25428000.0,-11736000.0,-5481000.0
EBIT,-28161000.0,-25979000.0,-12081000.0,-5628000.0
Consolidated Income,-27897000.0,-25980000.0,-12086000.0,-5889000.0
Earnings Before Tax Margin,-118.2076,-51.1417,-30.2907,-4.6297
Net Profit Margin,-118.2076,-51.1417,-30.2907,-4.6297
