Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,175000.0,184000.0,180000.0,212000.0,199000.0,171000.0,123000.0,197000.0
Stock-based compensation,15854000.0,6786000.0,10624000.0,10254000.0,7050000.0,1823000.0,2009000.0,940000.0
Operating Cash Flow,-70096000.0,-64706000.0,-68017000.0,-50714000.0,-32748000.0,-29455000.0,-16650000.0,-11644000.0
Capital Expenditure,-122000.0,-81000.0,-196000.0,-329000.0,-386000.0,-200000.0,-230000.0,-33000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-145643000.0,-8570000.0,38451000.0,-50424000.0,24605000.0,-29270000.0,285000.0,-19239000.0
Investing Cash flow,-145765000.0,-8651000.0,38255000.0,-50753000.0,24219000.0,-29470000.0,55000.0,-19211000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,140852000.0,158677000.0,2652000.0,144367000.0,887000.0,54757000.0,19886000.0,27400000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,140852000.0,158677000.0,2652000.0,144367000.0,887000.0,54757000.0,24813000.0,33614000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,303000.0,-278000.0
Net cash flow / Change in cash,-75009000.0,85320000.0,-27110000.0,42900000.0,-7642000.0,-4168000.0,8218000.0,2759000.0
Free Cash Flow,-70218000.0,-64787000.0,-68213000.0,-51043000.0,-33134000.0,-29655000.0,-16880000.0,-11677000.0
Net Cash/Marketcap,0.1615,0.3197,0.5476,0.2009,0.1169,0.2814,0.2926,0.2926
