Date,2019-10-31,2018-10-31,2017-10-31,2016-10-31,2015-10-31,2014-10-31,2013-10-31,2012-10-31,2011-10-31,2010-10-31,2009-10-31
Cash and cash equivalents,130976000.0,187871000.0,469320000.0,346765000.0,253745000.0,261898000.0,329204000.0,273232000.0,250740000.0,480185000.0,584020000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cash and short-term investments,130976000.0,187871000.0,469320000.0,346765000.0,253745000.0,261898000.0,329204000.0,273232000.0,250740000.0,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61023000.0,44418000.0
Inventories,2929588000.0,2315274000.0,2175267000.0,2802789000.0,3412539000.0,2800894000.0,2346265000.0,2131342000.0,1941092000.0,1001940000.0,1109913000.0
Total current assets,3060564000.0,2503145000.0,2644587000.0,3149554000.0,3666284000.0,3062792000.0,2675469000.0,2404574000.0,2191832000.0,,
Property Plant & Equipment Net,20127000.0,20285000.0,52919000.0,50332000.0,45534000.0,46744000.0,46211000.0,48524000.0,53266000.0,62767000.0,73918000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,127038000.0,123694000.0,115090000.0,100502000.0,61209000.0,63883000.0,51438000.0,61083000.0,57826000.0,,
Tax assets,0.0,0.0,0.0,283633000.0,290279000.0,284543000.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,-1179140000.0,-841103000.0,-743689000.0,-770114000.0,-1063986000.0,-772862000.0,-916339000.0,-720324000.0,-589652000.0,,
Total assets,1881424000.0,1662042000.0,1900898000.0,2379440000.0,2602298000.0,2289930000.0,1759130000.0,1684250000.0,1602180000.0,1817560000.0,2024577000.0
Payables,320193000.0,304899000.0,335057000.0,369228000.0,348516000.0,370876000.0,307764000.0,296510000.0,303633000.0,335891000.0,340229000.0
Short-term debt,201528000.0,201389000.0,52000000.0,52000000.0,47000000.0,-1311614000.0,326262000.0,6091000.0,0.0,,
Total current liabilities,524022000.0,509622000.0,389284000.0,423173000.0,397667000.0,-937541000.0,637327000.0,309483000.0,345462000.0,,
Long-term debt,1479990000.0,1493257000.0,1609509000.0,52000000.0,47000000.0,1670285000.0,1544197000.0,1558747000.0,0.0,,
Total debt,1681518000.0,1694646000.0,1661509000.0,104000000.0,94000000.0,358671000.0,1870459000.0,1564838000.0,0.0,1738928000.0,1855143000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,2301000.0,3334000.0,2227000.0,1945000.0,2151000.0,3197000.0,3301000.0,6882000.0,41829000.0,17910000.0,62354000.0
Deposit Liabilities,22800000.0,100000.0,400000.0,2200000.0,4700000.0,7500000.0,5100000.0,27300000.0,0.0,9520000.0,18811000.0
Total non-current liabilities,1479990000.0,1493257000.0,1639974000.0,112901000.0,138452000.0,1792614000.0,1697162000.0,1711654000.0,0.0,,
Total liabilities,2371887000.0,2115546000.0,2361269000.0,2507950000.0,2730382000.0,2407729000.0,2192356000.0,2169825000.0,2098874000.0,2155498000.0,2373445000.0
Other comprehensive income,735450000,728906000,726565000,726235000,723847000,718037000,709819000,688828000,611891000,0.0,0.0
Retained earnings (deficit),-1225973000.0,-1183856000.0,-1188376000.0,-856183000.0,-853364000.0,-837264000.0,-1144408000.0,-1175703000.0,-1109506000.0,-823419000.0,-826007000.0
Total shareholders equity,-490463000.0,-453504000.0,-460371000.0,-128510000.0,-128084000.0,-117799000.0,-433226000.0,-485575000.0,-496694000.0,-338568000.0,-349598000.0
Investments,127038000.0,123694000.0,115090000.0,100502000.0,61209000.0,63883000.0,51438000.0,61083000.0,57826000.0,124326000.0,110806000.0
Net Debt,1550542000.0,1506775000.0,1192189000.0,-242765000.0,-159745000.0,96773000.0,1541255000.0,1291606000.0,-250740000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,367875000.0,112667000.0,332011000.0,1971876000.0,2194263000.0,1552656000.0,-142133000.0,148688000.0,1753412000.0,,
