Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,19555.0,5787.0,0.0,0.0,0.0
Stock-based compensation,3805000.0,6018732.0,966000.0,356000.0,0.0
Operating Cash Flow,-15169330.0,-5096546.0,-8427000.0,-1730000.0,-7452000.0
Capital Expenditure,-13943.0,-38727.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-13943.0,-38727.0,0.0,0.0,0.0
Issuance (repayment) of debt,3020000.0,5130000.0,-260000.0,-287000.0,8188000.0
Issuance (buybacks) of shares,17746405.0,25.0,8824000.0,2969000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,20556610.0,5130025.0,9761000.0,1752000.0,7548000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,5373337.0,-5248.0,1334000.0,22000.0,96000.0
Free Cash Flow,-15183273.0,-5135273.0,-8427000.0,-1730000.0,-7452000.0
Net Cash/Marketcap,0.0101,-1.4662,0.1102,-0.1881,-0.1881
