Date,2018-12-31,2018-12-29,2017-12-31,2017-12-30,2017-01-02,2016-12-31,2016-01-02,2015-01-03,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Cash and cash equivalents,141000000.0,140900000.0,92000000.0,92000000.0,78000000.0,77600000.0,92800000.0,132900000.0,217600000.0,214500000.0,185600000.0,572200000.0,699400000.0
Short-term investments,17000000.0,0.0,22000000.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,158000000.0,140900000.0,114000000.0,92000000.0,100000000.0,77600000.0,92800000.0,132900000.0,217600000.0,214500000.0,185600000.0,572200000.0,699400000.0
Receivables,1309000000.0,2728700000.0,1278000000.0,2639600000.0,1159000000.0,2380600000.0,2131200000.0,1920200000.0,1752300000.0,1572700000.0,1387300000.0,1169200000.0,818200000.0
Inventories,674000000.0,673800000.0,639000000.0,638800000.0,531000000.0,530500000.0,497800000.0,475500000.0,434400000.0,404200000.0,386400000.0,329400000.0,274700000.0
Total current assets,2217000000.0,2216900000.0,2119000000.0,2119300000.0,1884000000.0,1884000000.0,1788800000.0,1858600000.0,1796200000.0,1669000000.0,1530700000.0,1765500000.0,1676100000.0
Property, Plant & Equipment Net,495000000.0,495100000.0,484000000.0,484400000.0,425000000.0,425200000.0,413500000.0,404500000.0,392500000.0,375200000.0,352900000.0,344000000.0,347800000.0
Goodwill and Intangible Assets,1135100000.0,1177800000.0,1080100000.0,985100000.0,1014000000.0,1029300000.0,994600000.0,984100000.0,991200000.0,1020500000.0,,,
Long-term investments,5000000.0,0.0,9000000.0,0.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,64700000.0,52000000.0,72800000.0,60400000.0,194200000.0,142500000.0,192200000.0,217800000.0,178500000.0,157700000.0,,,
Total non-current assets,3156200000.0,3129800000.0,2839200000.0,2542300000.0,2451500000.0,2313800000.0,2233300000.0,2142200000.0,1963900000.0,1771300000.0,,,
Total assets,5308000000.0,5373100000.0,5197000000.0,5249100000.0,4650000000.0,4723200000.0,4331100000.0,4310100000.0,4110000000.0,3902300000.0,3672900000.0,3729400000.0,3447400000.0
Payables,201000000.0,201100000.0,178000000.0,178200000.0,171000000.0,170900000.0,148300000.0,145000000.0,155600000.0,142500000.0,124600000.0,146100000.0,119800000.0
Short-term debt,186300000.0,433200000.0,301400000.0,18400000.0,56600000.0,113100000.0,5200000.0,16200000.0,216000000.0,164700000.0,,,
Total current liabilities,952000000.0,952000000.0,1193000000.0,1193300000.0,990000000.0,989500000.0,670200000.0,718700000.0,715400000.0,589200000.0,583800000.0,881100000.0,739900000.0
Long-term debt,946000000.0,946000000.0,754000000.0,753600000.0,709000000.0,708800000.0,861700000.0,862700000.0,858900000.0,970400000.0,967900000.0,954800000.0,902100000.0
Total debt,1132300000.0,1186800000.0,1010200000.0,880100000.0,919300000.0,972000000.0,975600000.0,984100000.0,1170800000.0,1066800000.0,,,
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tax Liabilities,41400000.0,28400000.0,13100000.0,14300000.0,159200000.0,143800000.0,127100000.0,108100000.0,94400000.0,97800000.0,,,
Deposit Liabilities,67500000.0,66500000.0,66700000.0,64400000.0,65800000.0,59400000.0,54700000.0,47300000.0,40400000.0,40500000.0,,,
Total non-current liabilities,1302500000.0,1083500000.0,1098500000.0,1230200000.0,1366100000.0,1264200000.0,1494100000.0,1541800000.0,1443900000.0,1401900000.0,,,
Total liabilities,2190000000.0,2254500000.0,2225000000.0,2276800000.0,2015000000.0,2088000000.0,1900400000.0,2084800000.0,1979600000.0,2083300000.0,2125600000.0,2325000000.0,2141800000.0
Other comprehensive income,-462200000.0,-329000000.0,-498500000.0,-364200000.0,-248200000.0,-44800000.0,-124200000.0,-174600000.0,-104800000.0,-68400000.0,,,
Retained earnings (deficit),4258000000.0,4257600000.0,3772000000.0,3772300000.0,3385000000.0,3384900000.0,2986900000.0,2637200000.0,2324100000.0,2067000000.0,1843700000.0,1644100000.0,1528900000.0
Total shareholders equity,3099000000.0,3098800000.0,2954000000.0,2953900000.0,2617000000.0,2617200000.0,2412700000.0,2207800000.0,2113200000.0,1802100000.0,1530900000.0,1388500000.0,1290000000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Net Debt,991400000.0,1094800000.0,932600000.0,787300000.0,786400000.0,754400000.0,761100000.0,798500000.0,598600000.0,367400000.0,,,
Other Assets,76000000.0,-1326500000.0,-1251100000.0,-1104700000.0,-933000000.0,-670000000.0,-608100000.0,-522400000.0,-428600000.0,-305300000.0,-116200000.0,,
Other Liabilities,564600000.0,581900000.0,517200000.0,503500000.0,517100000.0,446700000.0,441500000.0,443000000.0,519000000.0,455400000.0,,,
