Date,2018-01,2017-01,2016-01,2014-12,2013-12
Revenue,1741000000.0,1494000000.0,1567000000.0,1696000000.0,1292000000.0
Revenue Growth,,,,,
Cost of Revenue,1264000000.0,1126000000.0,1202000000.0,1195000000.0,873000000.0
Gross Profit,477000000.0,368000000.0,365000000.0,501000000.0,419000000.0
R&D Expenses,,,,,
SG&A Expense,261000000.0,239000000.0,262000000.0,254000000.0,180000000.0
Operating Expenses,261000000.0,239000000.0,902000000.0,254000000.0,180000000.0
Operating Income,216000000.0,129000000.0,-537000000.0,247000000.0,238000000.0
Interest Expense,76000000.0,76000000.0,77000000.0,000000.0,000000.0
Earnings before Tax,140000000.0,54000000.0,-614000000.0,244000000.0,240000000.0
Income Tax Expense,87000000.0,5000000.0,-228000000.0,156000000.0,89000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,53000000.0,48000000.0,-386000000.0,88000000.0,150000000.0
Preferred Dividends,,,,,
Net Income Com,53000000.0,48000000.0,-386000000.0,88000000.0,150000000.0
EPS,1.06,0.93,-7.39,1.69,
EPS Diluted,1.04,0.92,-7.39,1.68,
Weighted Average Shs Out,50000000.0,52000000.0,52000000.0,52000000.0,
Weighted Average Shs Out (Dil),51000000.0,52000000.0,52000000.0,52000000.0,
Dividend per Share,,,,,
Gross Margin,0.27398047099368,0.24631860776439,0.23292916400766,0.29540094339623,0.32430340557276
EBITDA Margin,0.16197587593337,0.13119143239625,-0.29483088704531,0.18573113207547,0.20588235294118
EBIT Margin,0.1240666283745,0.086345381526104,-0.34269304403318,0.1438679245283,0.18498452012384
Profit Margin,0.030442274554854,0.032128514056225,-0.24633056796426,0.05188679245283,0.11609907120743
Free Cash Flow margin,,,,,
EBITDA,282000000.0,196000000.0,-462000000.0,315000000.0,266000000.0
EBIT,216000000,129000000,-537000000,244000000,239000000
Consolidated Income,53000000.0,48000000.0,-386000000.0,88000000.0,150000000.0
Earnings Before Tax Margin,0.080413555427915,0.036144578313253,-0.3918315252074,0.1438679245283,0.18575851393189
Net Profit Margin,0.030442274554854,0.032128514056225,-0.24633056796426,0.05188679245283,0.11609907120743
