Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,710197.0,616291.0,661921.0,854063.0,763736.0,704435.0,623795.0,591373.0,386394.0,338995.0
Stock-based compensation,671620.0,895011.0,524269.0,491274.0,381765.0,352809.0,69657.0,985600.0,553629.0,483707.0
Operating Cash Flow,-2535038.0,1572498.0,-6600802.0,2057832.0,-3367760.0,3267913.0,-22077722.0,-13701110.0,-3959186.0,674509.0
Capital Expenditure,-559037.0,-239442.0,-136320.0,-209718.0,-602924.0,-637370.0,-825110.0,-1587898.0,-300803.0,-142661.0
Acquisitions and disposals,-6050906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-6609943.0,-239442.0,-136320.0,-209718.0,-602924.0,-637370.0,-825110.0,-1587898.0,-300803.0,-142661.0
Issuance (repayment) of debt,-2323871.0,-941765.0,6774685.0,-2463998.0,2775737.0,-3201243.0,9807226.0,14450385.0,-2076530.0,1268895.0
Issuance (buybacks) of shares,16166117.0,0.0,0.0,80000.0,447751.0,0.0,14614209.0,455447.0,11015293529500.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,13842246.0,-941765.0,6774685.0,-2350998.0,3309488.0,-3174243.0,24734435.0,15343832.0,2858540.0,1268895.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,4697265.0,391291.0,37563.0,-502884.0,-661196.0,-543700.0,1831603.0,54824.0,-1401449.0,1800743.0
Free Cash Flow,-3094075.0,1333056.0,-6737122.0,1848114.0,-3970684.0,2630543.0,-22902832.0,-15289008.0,-4259989.0,531848.0
Net Cash/Marketcap,-0.3242,-0.3674,-0.3848,-0.2899,-0.2991,-0.1775,-0.2996,-0.203,-0.0197,-0.067
