Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-06-27,2014-06-28,2013-06-29,2012-06-30,2011-06-25,2010-06-26,2009-06-27
Depreciation & Amortization,423600000.0,444800000.0,457000000.0,258700000.0,206100000.0,160200000.0,135300000.0,102900000.0,74104000.0,,71297000.0
Stock-based compensation,37700000.0,43800000.0,23000000.0,31600000.0,24600000.0,18400000.0,4300000.0,-2400000.0,3534000.0,,
Operating Cash Flow,593000000.0,698900000.0,654900000.0,764300000.0,855200000.0,633000000.0,553800000.0,513400000.0,374000000.0,332363000.0,239757000.0
Capital Expenditure,-102600000.0,-88600000.0,-106200000.0,-166800000.0,-137000000.0,-171600000.0,-104100000.0,-109700000.0,-99400000.0,-57816000.0,-57431000.0
Acquisitions and disposals,-30400000.0,2354200000.0,-423400000.0,-2511700000.0,-1605800000.0,-852300000.0,-574500000.0,-11800000.0,-843084000.0,,
Investment purchases and sales,-7500000.0,0.0,4500000.0,0.0,81400000.0,8600000.0,0.0,600000.0,0.0,,
Investing Cash flow,-126800000.0,2338100000.0,-175000000.0,-3029500000.0,-2302300000.0,-1644300000.0,-947800000.0,-684100000.0,-110600000.0,-919900000.0,-146679000.0
Issuance (repayment) of debt,-55900000.0,-2720300000.0,-172000000.0,-251300000.0,626800000.0,1122100000.0,602300000.0,476500000.0,-51200000.0,451229000.0,-45116000.0
Issuance (buybacks) of shares,-398700000.0,-190800000.0,8300000.0,9000000.0,1043500000.0,9800000.0,10700000.0,3400000.0,6000000.0,-49644000.0,-52427000.0
Dividend payments,-104900000.0,-91100000.0,-83200000.0,-72200000.0,-64800000.0,-46100000.0,-33000000.0,-29000000.0,-25300000.0,-22329000.0,-19957000.0
Financing Cash Flow,-571900000.0,-3004700000.0,-268700000.0,-837200000.0,1522400000.0,1028000000.0,577200000.0,458700000.0,-58800000.0,383303000.0,-115210000.0
Effect of forex changes on cash,-21900000.0,24100000.0,-6700000.0,-89200000.0,2900000.0,-5800000.0,4400000.0,-4300000.0,-3643000.0,,
Net cash flow / Change in cash,-127600000.0,56400000.0,204500000.0,-13900000.0,19600000.0,177400000.0,292400000.0,200300000.0,-207877000.0,,
Free Cash Flow,490400000.0,610300000.0,548700000.0,718200000.0,461400000.0,449700000.0,403700000.0,274600000.0,274547000.0,,
Net Cash/Marketcap,-0.5112,-0.2108,-0.4173,-0.1713,-0.1234,-0.1041,-0.0692,-0.0734,-0.1538,,-0.0679
