Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,645000.0,490000.0,246000.0,208000.0,239000.0,706779.0,787522.0
Stock-based compensation,4367000.0,6387000.0,5903000.0,3427000.0,2383000.0,927996.0,176308.0
Operating Cash Flow,-25375000.0,-71255000.0,-91554000.0,-40075000.0,-39778000.0,-24239230.0,-14805153.0
Capital Expenditure,-169000.0,-3495000.0,-605000.0,-376000.0,-440000.0,-140036.0,-21344.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,21169000.0,36275000.0,38403000.0,-56563000.0,-70717000.0,0.0,0.0
Investing Cash flow,21000000.0,32780000.0,37798000.0,-56939000.0,-71157000.0,-140036.0,-21344.0
Issuance (repayment) of debt,-12678000.0,9913000.0,-4000.0,16365000.0,1774000.0,-4946667.0,4502137.0
Issuance (buybacks) of shares,33278000.0,21073000.0,32333000.0,91217000.0,107402000.0,83555.0,2910.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,20600000.0,30986000.0,32329000.0,107582000.0,109176000.0,55605805.0,4505047.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,16225000.0,-7489000.0,-21427000.0,10568000.0,-1759000.0,31226539.0,-10321450.0
Free Cash Flow,-25544000.0,-74750000.0,-92159000.0,-40451000.0,-40218000.0,-24379266.0,-14826497.0
Net Cash/Marketcap,1.2823,0.3507,0.2904,0.2899,0.6675,0.2235,0.2235
