Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,3826000000.0,3603000000.0,3654000000.0,3743000000.0,3853000000.0,3741000000.0
Revenue Growth,0.0618928670552318,-0.0139573070607553,-0.0237777184076944,-0.0285491824552297,0.0299385191125368,
Cost of Revenue,3283000000.0,3026000000.0,0.0,3090000000.0,3197000000.0,3054100000.0
Gross Profit,543000000.0,577000000.0,0.0,653000000.0,656000000.0,686900000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,328000000.0,261000000.0,0.0,280000000.0,268000000.0,278300000.0
Operating Expenses,328000000.0,261000000.0,0.0,518000000.0,581000000.0,551300000.0
Operating Income,42000000.0,27000000.0,175000000.0,135000000.0,75000000.0,135600000.0
Interest Expense,0.0,0.0,0.0,-3000000.0,-4000000.0,0.0
Earnings before Tax,10000000.0,-44000000.0,157000000.0,138000000.0,88000000.0,136600000.0
Income Tax Expense,33000000.0,13000000.0,51000000.0,64000000.0,30000000.0,42100000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-23000000.0,-57000000.0,106000000.0,74000000.0,58000000.0,94500000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-23000000.0,-57000000.0,106000000.0,74000000.0,58000000.0,94500000.0
EPS,-0.67,-1.69,3.25,2.27,1.79,
EPS Diluted,-0.67,-1.69,3.23,2.27,1.79,
Weighted Average Shs Out,33800000.0,33800000.0,32500000.0,32900000.0,,
Weighted Average Shs Out (Dil),33800000.0,33800000.0,32800000.0,32400000.0,32400000.0,
Dividend per Share,1.03550295858,1.00591715976,0.243902439024,0.0,0.0,0.0
Gross Margin,0.141923680084,0.160144324174,0.0,0.1745,0.1703,0.1836
EBITDA Margin,0.0470465237846,0.0519011934499,0.0946907498632,0.084,0.069,0.088
EBIT Margin,0.0109775222164,0.007493755204,0.0478927203065,0.0361,0.0218,0.0365
Profit Margin,-0.00601150026137,-0.0158201498751,0.0290093048714,0.02,0.015,0.025
Free Cash Flow margin,0.0258755880815,0.0402442409104,0.0500821018062,0.0622,0.0641,0.0624
EBITDA,180000000.0,187000000.0,346000000.0,316000000.0,265000000.0,330300000.0
EBIT,42000000.0,27000000.0,175000000.0,135000000.0,84000000.0,136600000.0
Consolidated Income,-23000000.0,-57000000.0,106000000.0,74000000.0,58000000.0,94500000.0
Earnings Before Tax Margin,0.00261369576581,-0.0122120455176,0.0429666119321,0.0369,0.0228,0.0365
Net Profit Margin,-0.00601150026137,-0.0158201498751,0.0290093048714,0.0198,0.0151,0.0253
