Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,87229000.0,128389000.0,31395000.0,63024044.0,103225522.0,16316254.0,12865330.0,3387482.0
Short-term investments,171555000.0,264589000.0,174688000.0,48302507.0,48527156.0,250047.0,16548000.0,7184726.0
Cash and short-term investments,258784000.0,392978000.0,206083000.0,111326551.0,151752678.0,16566301.0,29413330.0,10572208.0
Receivables,13121000.0,410000.0,0.0,95285.0,0.0,0.0,0.0,0.0
Inventories,7637000.0,1799000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,285042000.0,397990000.0,209393000.0,112102708.0,152110492.0,16620263.0,29871670.0,10808376.0
Property, Plant & Equipment Net,10710000.0,11189000.0,11664000.0,7442477.0,1109391.0,375239.0,63843.0,72162.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,31538000.0,4725000.0,7357423.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,10710000.0,43327000.0,16869000.0,15035804.0,1237391.0,2155654.0,136021.0,130462.0
Total assets,295752000.0,441317000.0,226262000.0,127138512.0,153347883.0,18775917.0,30007691.0,10938838.0
Payables,12340000.0,6222000.0,2161000.0,3692414.0,1584822.0,1279874.0,483984.0,660256.0
Short-term debt,9967000.0,9967000.0,9134000.0,0.0,1983500.0,1500000.0,0.0,0.0
Total current liabilities,36617000.0,30572000.0,17540000.0,8058974.0,6782026.0,5036554.0,2724604.0,1784633.0
Long-term debt,148519000.0,150043000.0,21399000.0,15002039.0,1580958.0,3546667.0,0.0,0.0
Total debt,158486000.0,160010000.0,30533000.0,15002039.0,3564458.0,5046667.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,149056000.0,150471000.0,21690000.0,15093094.0,1623966.0,3637040.0,0.0,0.0
Total liabilities,185673000.0,181043000.0,39230000.0,23152068.0,8405992.0,8673594.0,2724604.0,1784633.0
Other comprehensive income,-77000.0,-407000.0,-71000.0,-96651.0,-5240.0,-28.0,2450.0,803.0
Retained earnings (deficit),-518826000.0,-349167000.0,-211686000.0,-139792274.0,-93476823.0,-66163159.0,-47976435.0,-32994816.0
Total shareholders equity,110079000.0,260274000.0,187032000.0,103986444.0,144941891.0,-64703890.0,-47523126.0,-32681542.0
Investments,171555000.0,296127000.0,179413000.0,55659930.0,48527156.0,250047.0,16548000.0,7184726.0
Net Debt,-100298000.0,-232968000.0,-175550000.0,-96324512.0,-148188220.0,-11519634.0,-29413330.0,-10572208.0
Other Assets,5500000.0,2803000.0,3310000.0,680872.0,357814.0,53962.0,458340.0,236168.0
Other Liabilities,14310000.0,14383000.0,6245000.0,4366560.0,3213704.0,2256680.0,2240620.0,1124377.0
