Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,135746000.0,113887000.0,64583000.0,25900000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,135746000.0,113887000.0,64583000.0,25900000.0
Receivables,309104000.0,367906000.0,137222000.0,274691000.0
Inventories,62633000.0,77793000.0,54471000.0,102257000.0
Total current assets,529840000.0,592597000.0,299688000.0,484443000.0
Property Plant & Equipment Net,737292000.0,703029000.0,950811000.0,1210441000.0
Goodwill and Intangible Assets,115072000.0,271352000.0,76057000.0,455538000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,342751000.0,334405000.0,6020000.0,9035000.0
Total non-current assets,894614000.0,1016260000.0,1061913000.0,1748463000.0
Total assets,1424454000.0,1608857000.0,1361601000.0,2232906000.0
Payables,140109000.0,138624000.0,75193000.0,213065000.0
Short-term debt,0.0,867000.0,25000000.0,13433000.0
Total current liabilities,244412000.0,258850000.0,180635000.0,290868000.0
Long-term debt,0.0,0.0,284400000.0,1142077000.0
Total debt,0.0,867000.0,309400000.0,1155510000.0
Deferred revenue,25000000.0,0.0,0.0,0.0
Tax Liabilities,6030000.0,0.0,6525000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,26713000.0,28585000.0,318590000.0,1309395000.0
Total liabilities,271125000.0,287435000.0,1660171000.0,1600263000.0
Other comprehensive income,1273524000,1298859000,1009426000,997766000
Retained earnings (deficit),-120708000.0,22457000.0,-1306591000.0,-362302000.0
Total shareholders equity,1153329000.0,1321422000.0,-298570000.0,632643000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,-135746000.0,-113020000.0,244817000.0,1129610000.0
Other Assets,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.0,1160946000.0,0.0
