Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,205767.0,92410.0,45821.0,
Stock-based compensation,7288.0,849679.0,1483675.0,
Operating Cash Flow,-11147528.0,-7093017.0,-4562168.0,-1352658.0
Capital Expenditure,627997.0,171736.0,-231604.0,-164174.0
Acquisitions and disposals,-0.0,-0.0,0.0,
Investment purchases and sales,0.0,0.0,0.0,
Investing Cash flow,-618997.0,-171736.0,-241215.0,-181826.0
Issuance (repayment) of debt,-0.0,6726.0,4757599.0,7070.0
Issuance (buybacks) of shares,6342231.0,3121853.0,-80212.0,6392979.0
Dividend payments,-0.0,-0.0,0.0,0.0
Financing Cash Flow,10258643.0,7486220.0,4786353.0,6400049.0
Effect of forex changes on cash,0.0,0.0,0.0,
Net cash flow / Change in cash,-1507882.0,221467.0,-17030.0,
Free Cash Flow,-11775525.0,-7264753.0,-4793772.0,
Net Cash/Marketcap,0.0,0.0,0.0257,
