Date,2018-12-30,2017-12-31,2017-01-01,2016-01-03,2014-12-28,2013-12-29,2012-12-30
Cash and cash equivalents,1588000.0,19479000.0,12465000.0,136069000.0,130513000.0,77652000.0,67211000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1588000.0,19479000.0,12465000.0,136069000.0,130513000.0,77652000.0,67211000.0
Receivables,40564000.0,25893000.0,25228000.0,20424000.0,14091000.0,9524000.0,8415000.0
Inventories,264366000.0,229542000.0,204464000.0,165434000.0,142793000.0,118256000.0,98382000.0
Total current assets,333841000.0,299507000.0,264026000.0,345215000.0,334129000.0,231627000.0,203121000.0
Property, Plant & Equipment Net,766429000.0,713031000.0,604660000.0,494067000.0,454889000.0,348830000.0,303166000.0
Goodwill and Intangible Assets,562881000.0,564283000.0,565686000.0,566679000.0,562254000.0,563545000.0,564850000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,1400000.0,35580000.0,33413000.0,47170000.0
Total non-current assets,1341773000.0,1282096000.0,1175867000.0,1081149000.0,1034944000.0,940777000.0,900115000.0
Total assets,1675614000.0,1581603000.0,1439893000.0,1426364000.0,1369073000.0,1172404000.0,1103236000.0
Payables,120266000.0,244853000.0,213926000.0,134480000.0,112877000.0,111159000.0,82721000.0
Short-term debt,7428000.0,9238000.0,12370000.0,14972000.0,36882000.0,9217000.0,5167000.0
Total current liabilities,310000000.0,299714000.0,259155000.0,230422000.0,220840000.0,175621000.0,136846000.0
Long-term debt,572642000.0,473489000.0,372366000.0,275500000.0,370173000.0,421595000.0,529016000.0
Total debt,580070000.0,482727000.0,384736000.0,290472000.0,407055000.0,430812000.0,534183000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,50399000.0,27066000.0,19263000.0,0.0,18600000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,776418000.0,631195000.0,507829000.0,372950000.0,462844000.0,483012000.0,579635000.0
Total liabilities,1086418000.0,930909000.0,766984000.0,603372000.0,683684000.0,658633000.0,716481000.0
Other comprehensive income,1134000.0,-784000.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-69202000.0,30558000.0,75500000.0,245446000.0,142189000.0,34497000.0,-8851000.0
Total shareholders equity,589196000.0,650694000.0,672909000.0,822992000.0,685389000.0,513771000.0,386755000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,578482000.0,463248000.0,372271000.0,154403000.0,276542000.0,353160000.0,466972000.0
Other Assets,27323000.0,24593000.0,21869000.0,23288000.0,46732000.0,26195000.0,29113000.0
Other Liabilities,182306000.0,45623000.0,32859000.0,80970000.0,71081000.0,55245000.0,48958000.0
