Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,19119000.0,11971000.0,17862000.0,32318000.0,10255000.0
Short-term investments,3260000.0,31358000.0,51003000.0,19002000.0,0.0
Cash and short-term investments,22379000.0,43329000.0,68865000.0,51320000.0,10255000.0
Receivables,140000.0,2005000.0,5003000.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,23721000.0,45896000.0,74357000.0,54078000.0,10278000.0
Property, Plant & Equipment Net,1753000.0,2004000.0,1970000.0,403000.0,352000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,3250000.0,8200000.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0
Total non-current assets,3025000.0,6560000.0,10530000.0,512000.0,3436000.0
Total assets,26746000.0,52456000.0,84887000.0,54590000.0,13714000.0
Payables,8342000.0,7875000.0,6444000.0,4906000.0,3096000.0
Short-term debt,3547000.0,3522000.0,157000.0,3436000.0,839000.0
Total current liabilities,12004000.0,11509000.0,6642000.0,8342000.0,3935000.0
Long-term debt,78501000.0,89960000.0,91827000.0,18530000.0,18114000.0
Total debt,82048000.0,93482000.0,91984000.0,21966000.0,18953000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,81308000.0,98463000.0,96941000.0,56369000.0,34080000.0
Total liabilities,93312000.0,109972000.0,103583000.0,64711000.0,38015000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-221192000.0,-164726000.0,-121340000.0,-104824000.0,-50160000.0
Total shareholders equity,-66566000.0,-57516000.0,-18696000.0,-10121000.0,-48508000.0
Investments,3260000.0,34608000.0,59203000.0,19002000.0,0.0
Net Debt,59669000.0,50153000.0,23119000.0,-29354000.0,8698000.0
Other Assets,1202000.0,562000.0,489000.0,2758000.0,23000.0
Other Liabilities,115000.0,112000.0,41000.0,0.0,0.0
