Date,2019-03-30,2018-03-31,2017-05-31,2017-04-01,2016-05-31,2016-04-02,2015-05-31,2015-03-28,2014-05-31,2013-05-31,2012-05-31,2011-05-31,2010-05-31,2009-05-31
Depreciation & Amortization,16621000.0,8260000.0,1129000.0,1057000.0,1139000.0,1716000.0,1333000.0,2359000.0,1716000.0,2002000.0,0.0,,,2359000.0
Stock-based compensation,101999000.0,642000.0,161000.0,82000.0,82000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Operating Cash Flow,65228000.0,31623000.0,2868000.0,33459000.0,3853000.0,20919000.0,-4335000.0,15644000.0,-17596000.0,-14039000.0,0.0,-25575000.0,-15251000.0,-18597000.0
Capital Expenditure,12092000.0,-8891000.0,1355000.0,-6955000.0,1132000.0,-3712000.0,473000.0,-3882000.0,753000.0,75000.0,0.0,-816000.0,3191000.0,4440000.0
Acquisitions and disposals,9722000.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,,,0.0
Investment purchases and sales,0.0,-167000.0,0.0,0.0,0.0,4046000.0,0.0,17991000.0,0.0,0.0,0.0,,,15991000.0
Investing Cash flow,-2030000.0,-8621000.0,857000.0,-18737000.0,-1189000.0,-4519000.0,5555000.0,-340000.0,5455000.0,13866000.0,0.0,32075000.0,20725000.0,22391000.0
Issuance (repayment) of debt,-2169000.0,11593000.0,-0.0,3694000.0,-0.0,-1517000.0,-2022000.0,-12597000.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,-126634000.0,0.0,0.0,0.0,0.0,-5869000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividend payments,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-888000.0,-0.0,-0.0,-0.0,-6041000.0,-6042000.0,-1510000.0
Financing Cash Flow,-72518000.0,10336000.0,0.0,3694000.0,0.0,-8624000.0,-2256000.0,-22545000.0,6334000.0,0.0,0.0,-6041000.0,-6042000.0,-1510000.0
Effect of forex changes on cash,-662000.0,586000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Net cash flow / Change in cash,-9982000.0,33924000.0,3725000.0,2664000.0,2664000.0,-5807000.0,-1036000.0,2284000.0,-5807000.0,-173000.0,0.0,,,-721000.0
Free Cash Flow,53136000.0,22732000.0,1513000.0,2721000.0,2721000.0,-16408000.0,-4808000.0,-14157000.0,-18349000.0,-14114000.0,0.0,,,-11075000.0
Net Cash/Marketcap,0.0,0.2634,0.0,0.0387,0.0,-0.0065,0.0,0.7615,0.0,0.0,0.0,,,0.7615
