Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,1120000.0,185000.0,388000.0,282000.0,1780000.0,1941000.0,1470330.0
Revenue Growth,5.05405405405405,-0.52319587628866,0.375886524822695,-0.841573033707865,-0.0829469345698094,0.320111811634123,
Cost of Revenue,436000.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,684000.0,0.0,0.0,0.0,1780000.0,1941000.0,1470330.0
R&D Expenses,71152000.0,65663000.0,51263000.0,33561000.0,12071000.0,7899000.0,5796233.0
SG&A Expense,24998000.0,21045000.0,16925000.0,12672000.0,4335000.0,1964000.0,1943206.0
Operating Expenses,96586000.0,87572000.0,68768000.0,49417000.0,59618000.0,9863000.0,7739439.0
Operating Income,-95466000.0,-87387000.0,-68380000.0,-49135000.0,-57838000.0,-7922000.0,-6269109.0
Interest Expense,4199000.0,3672000.0,1760000.0,12000.0,1791000.0,51000.0,1405.0
Earnings before Tax,0.0,0.0,0.0,0.0,-83965000.0,-7969000.0,-6262969.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-98036000.0,-91779000.0,-69241000.0,-48548000.0,-83965000.0,-7969000.0,-6262969.0
Preferred Dividends,0.0,0.0,0.0,0.0,1432000.0,1093000.0,757492.0
Net Income Com,-98036000.0,-91779000.0,-69241000.0,-48548000.0,-85397000.0,-9062000.0,-7020461.0
EPS,-2.44,-2.89,-2.57,-1.84,-34.04,-5.05,-4.26
EPS Diluted,-2.44,-2.89,-2.57,-1.84,-34.04,-5.05,-4.26
Weighted Average Shs Out,40230580.0,31714164.0,26950906.0,26346603.0,24782240.0,24782240.0,
Weighted Average Shs Out (Dil),40230580.0,31714164.0,26950906.0,26346603.0,2508960.0,1795992.0,1648198.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.610714285714,0.0,0.0,0.0,1.0,1.0,1.0
EBITDA Margin,-78.3035714286,-449.994594595,-170.288659794,-172.017730496,-45.79,-3.777,-4.18
EBIT Margin,-85.2375,-472.362162162,-176.237113402,-174.237588652,-46.1652,-4.0793,-4.2586
Profit Margin,-87.5321428571,-496.102702703,-178.456185567,-172.156028369,-47.976,-4.669,-4.775
Free Cash Flow margin,-68.2133928571,-460.097297297,-148.610824742,-145.911347518,-32.6472,-4.1103,-6.6591
EBITDA,-87700000.0,-83249000.0,-66072000.0,-48509000.0,-81507000.0,-7331000.0,-6146282.0
EBIT,-95466000.0,-87387000.0,-68380000.0,-49135000.0,-82174000.0,-7918000.0,-6261564.0
Consolidated Income,-98036000.0,-91779000.0,-69241000.0,-48548000.0,-83965000.0,-7969000.0,-6262969.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,-47.1713,-4.1056,-4.2596
Net Profit Margin,-87.5321428571,-496.102702703,-178.456185567,-172.156028369,-47.1713,-4.1056,-4.2596
