Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,74076000.0,16109000.0,10699000.0,12063000.0,5412000.0
Short-term investments,16631000.0,29800000.0,15473000.0,10235000.0,0.0
Cash and short-term investments,90707000.0,45909000.0,26172000.0,22298000.0,5412000.0
Receivables,5516000.0,3387000.0,2511000.0,2048000.0,1191000.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,107998000.0,53842000.0,32220000.0,27506000.0,7807000.0
Property, Plant & Equipment Net,6871000.0,6696000.0,7077000.0,6107000.0,2623000.0
Goodwill and Intangible Assets,41928000.0,26071000.0,25381000.0,21275000.0,14122000.0
Long-term investments,11256000.0,22401000.0,26688000.0,34417000.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0
Total non-current assets,67743000.0,56406000.0,60363000.0,62975000.0,17627000.0
Total assets,175741000.0,110248000.0,92583000.0,90481000.0,25434000.0
Payables,1481000.0,610000.0,937000.0,2369000.0,2088000.0
Short-term debt,1213000.0,0.0,0.0,0.0,0.0
Total current liabilities,28213000.0,23912000.0,21361000.0,16905000.0,13528000.0
Long-term debt,48602000.0,0.0,0.0,0.0,0.0
Total debt,49815000.0,0.0,0.0,0.0,0.0
Deferred revenue,3414000.0,7080000.0,7638000.0,4953000.0,3780000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,55682000.0,1257000.0,1540000.0,879000.0,207000.0
Total liabilities,83895000.0,25169000.0,22901000.0,17784000.0,13735000.0
Other comprehensive income,-178000.0,-209000.0,-51000.0,-153000.0,0.0
Retained earnings (deficit),-44316000.0,-67247000.0,-76963000.0,-68682000.0,-53014000.0
Total shareholders equity,91846000.0,85079000.0,69682000.0,72697000.0,-51467000.0
Investments,27887000.0,52201000.0,42161000.0,44652000.0,0.0
Net Debt,-40892000.0,-45909000.0,-26172000.0,-22298000.0,-5412000.0
Other Assets,11775000.0,4546000.0,3537000.0,3160000.0,1204000.0
Other Liabilities,25519000.0,23302000.0,20424000.0,14536000.0,11440000.0
