Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,4332000.0,4000000.0,3645000.0,4000000.0,5429000.0,5000000.0,5386000.0,5000000.0,4915000.0,5000000.0,4518000.0,5931000.0,4059000.0,0.0,4551000.0
Stock-based compensation,6786000.0,7000000.0,13829000.0,14000000.0,17624000.0,18000000.0,0.0,000000.0,12121000.0,000000.0,3914000.0,7852000.0,460000.0,0.0,0.0
Operating Cash Flow,342338000.0,,265343000.0,,224227000.0,,227624000.0,,222492000.0,,136875000.0,96739000.0,118338000.0,0.0,103910000.0
Capital Expenditure,8845000.0,,3474000.0,,3918000.0,,3577000.0,,8359000.0,,10088000.0,3336000.0,4571000.0,0.0,-2781000.0
Acquisitions and disposals,-22383000.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0,0.0
Investment purchases and sales,-111320000.0,-1038000000,-409195000.0,-1071000000,-242007000.0,-1058000000,-90661000.0,-902000000,-292092000.0,-957000000,-13968000.0,-203394000.0,-60801000.0,0.0,-89992000.0
Investing Cash flow,-260147000.0,-260000000.0,-247706000.0,-248000000.0,-211432000.0,-211000000.0,-229005000.0,-250000000.0,-223555000.0,-219000000.0,-267870000.0,-98159000.0,66006000.0,0.0,-92773000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0,-7000000.0
Issuance (buybacks) of shares,-155834000.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,-90866000.0,0.0,-5085000.0
Dividend payments,-8319000.0,,-6633000.0,,-3930000.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,-14767000.0,-15000000.0,-18444000.0,-18000000.0,-2090000.0,-2000000.0,1381000.0,1000000.0,1220000.0,1000000.0,134157000.0,1076000.0,-88752000.0,0.0,-12085000.0
Effect of forex changes on cash,-4234000.0,-4000000.0,0.0,3000000.0,0.0,-16000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,63190000.0,63000000.0,0.0,2000000.0,0.0,-5000000.0,0.0,-21000000.0,157000.0,4000000.0,3162000.0,-344000.0,95592000.0,0.0,-948000.0
Free Cash Flow,333493000.0,,261869000.0,,220309000.0,,224047000.0,,214133000.0,,126787000.0,93403000.0,113767000.0,0.0,101129000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.0197
