Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,192844000.0,90332000.0,59110000.0,83715000.0,50365000.0,76581000.0,12965000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,192844000.0,90332000.0,59110000.0,83715000.0,50365000.0,76581000.0,12965000.0
Receivables,18158000.0,6021000.0,13265000.0,7058000.0,6823000.0,4754000.0,5400000.0
Inventories,7767000.0,7137000.0,7437000.0,7099000.0,6425000.0,5450000.0,3073000.0
Total current assets,216780000.0,120482000.0,82202000.0,101464000.0,66368000.0,89027000.0,22780000.0
Property, Plant & Equipment Net,7144000.0,2764000.0,7793000.0,6284000.0,4537000.0,2964000.0,2249000.0
Goodwill and Intangible Assets,2544000.0,3519000.0,14839000.0,224000.0,323000.0,331000.0,107000.0
Long-term investments,100000.0,200000.0,200000.0,80000.0,192000.0,362000.0,287000.0
Tax assets,1052000.0,2486000.0,2630000.0,0.0,0.0,0.0,0.0
Total non-current assets,15340000.0,23754000.0,41810000.0,8388000.0,7481000.0,3717000.0,2703000.0
Total assets,232120000.0,144236000.0,124012000.0,109852000.0,73849000.0,92744000.0,25483000.0
Payables,2801000.0,5552000.0,3201000.0,3799000.0,2368000.0,2310000.0,1754000.0
Short-term debt,85000.0,78000.0,84000.0,79000.0,137000.0,170000.0,1627000.0
Total current liabilities,18008000.0,22445000.0,18490000.0,15481000.0,11568000.0,11133000.0,8391000.0
Long-term debt,106000.0,29856000.0,29601000.0,386000.0,454000.0,563000.0,143000.0
Total debt,191000.0,29934000.0,29685000.0,465000.0,591000.0,733000.0,1770000.0
Deferred revenue,125000.0,36000.0,41000.0,1654000.0,1993000.0,1540000.0,908000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,177000.0,140000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,106000.0,34162000.0,32558000.0,1679000.0,1672000.0,859000.0,143000.0
Total liabilities,18114000.0,56607000.0,51048000.0,17160000.0,13240000.0,11992000.0,8534000.0
Other comprehensive income,-8523000.0,-5712000.0,-7751000.0,-5277000.0,-4570000.0,-3748000.0,-3622000.0
Retained earnings (deficit),-80762000.0,-201541000.0,-168656000.0,-146307000.0,-121829000.0,-99655000.0,-90991000.0
Total shareholders equity,214006000.0,87629000.0,72964000.0,92692000.0,60609000.0,80752000.0,16949000.0
Investments,100000.0,200000.0,200000.0,80000.0,192000.0,362000.0,287000.0
Net Debt,-192653000.0,-60398000.0,-29425000.0,-83250000.0,-49774000.0,-75848000.0,-11195000.0
Other Assets,-1989000.0,16992000.0,2390000.0,3592000.0,2755000.0,2242000.0,1342000.0
Other Liabilities,15122000.0,16815000.0,15205000.0,11603000.0,9063000.0,8653000.0,5010000.0
