Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,5729000.0,6000000.0,4000.0,0000000.0,20870000.0,21000000.0,6876000.0,7000000.0,8355000.0,2000000.0,1467000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,5729000.0,,4000.0,,20870000.0,,6876000.0,,8355000.0,,1467000.0
Receivables,56951000.0,57000000.0,25103000.0,30000000.0,28955000.0,37000000.0,75708000.0,76000000.0,50200000.0,50000000.0,28360000.0
Inventories,27825000.0,28000000.0,17457000.0,17000000.0,30162000.0,43000000.0,32278000.0,32000000.0,41320000.0,41000000.0,22848000.0
Total current assets,212056000.0,212000000.0,195966000.0,196000000.0,307614000.0,308000000.0,308003000.0,313000000.0,218984000.0,219000000.0,140512000.0
Property, Plant & Equipment Net,185970000.0,186000000.0,165855000.0,166000000.0,179520000.0,234000000.0,238657000.0,239000000.0,146131000.0,146000000.0,131414000.0
Goodwill and Intangible Assets,1664000.0,2000000,4781000.0,5000000,7323000.0,60000000,60422000.0,60000000,68679000.0,68000000,1426000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current assets,211246000.0,211000000.0,172398000.0,179000000.0,308442000.0,308000000.0,230203000.0,235000000.0,95223000.0,95000000.0,135759000.0
Total assets,308892000.0,309000000.0,249904000.0,250000000.0,420048000.0,420000000.0,432127000.0,437000000.0,323016000.0,323000000.0,195789000.0
Payables,18819000.0,19000000.0,11221000.0,11000000.0,8339000.0,18000000.0,21341000.0,21000000.0,36096000.0,36000000.0,27622000.0
Short-term debt,0.0,000000.0,0.0,000000.0,0.0,000000.0,983000.0,0000000.0,3702000.0,0000000.0,10869000.0
Total current liabilities,48537000.0,49000000.0,22850000.0,23000000.0,36828000.0,37000000.0,46735000.0,47000000.0,57072000.0,57000000.0,50613000.0
Long-term debt,176351000.0,186000000.0,134012000.0,142000000.0,295938000.0,296000000.0,217080000.0,222000000.0,93809000.0,94000000.0,135069000.0
Total debt,176351000.0,186000000.0,134012000.0,142000000.0,295938000.0,296000000.0,218063000.0,222000000.0,97511000.0,94000000.0,145938000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,4043000.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,211246000.0,211000000.0,172398000.0,179000000.0,308442000.0,308000000.0,230203000.0,235000000.0,95223000.0,95000000.0,135759000.0
Total liabilities,259783000.0,260000000.0,195248000.0,202000000.0,345270000.0,345000000.0,276938000.0,282000000.0,152295000.0,152000000.0,186372000.0
Other comprehensive income,0.0,49000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Retained earnings (deficit),0.0,,0.0,,0.0,,0.0,,,,
Total shareholders equity,49109000.0,49000000.0,47742000.0,48000000.0,74778000.0,75000000.0,155189000.0,155000000.0,170721000.0,171000000.0,9417000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,170622000.0,180000000,134008000.0,142000000,275068000.0,275000000,211187000.0,215000000,89156000.0,92000000,144471000.0
Other Assets,6331000.0,24000000,11374000.0,27000000,32447000.0,13000000,9262000.0,14000000,4157000.0,10000000,2602000.0
Other Liabilities,29718000.0,31000000,11629000.0,39000000,28489000.0,18000000,24411000.0,13000000,17274000.0,1000000,12122000.0
