Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,13176452.0,7333810.0,4763364.0,5137875.0,9810816.0,5624860.0,3383737.0,3196831.0,2470852.0,3950389.0
Short-term investments,67707143.0,51973971.0,44254862.0,28347542.0,10900436.0,6966964.0,5120000.0,5000000.0,5360970.0,4548541.0
Cash and short-term investments,80883595.0,59307781.0,49018226.0,33485417.0,20711252.0,12591824.0,8503737.0,8196831.0,7831822.0,8498930.0
Receivables,16518687.0,4655105.0,3810792.0,2547920.0,2987047.0,5004418.0,5082360.0,3236917.0,1986125.0,1295399.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,98233962.0,66380515.0,55399967.0,38368882.0,25148810.0,18273461.0,13875801.0,13086503.0,10095258.0,10274410.0
Property Plant & Equipment Net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0
Goodwill and Intangible Assets,444478.0,397993.0,258355.0,275206.0,295030.0,215999.0,280322.0,0.0,173443.0,223458.0
Long-term investments,1099834.0,5745974.0,3771380.0,3596541.0,1250000.0,0.0,0.0,0.0,0.0,0.0
Tax assets,313768.0,1739706.0,3290122.0,606061.0,1061864.0,1412784.0,1484141.0,1738154.0,185386.0,416821.0
Total non-current assets,1858080.0,8615879.0,9296313.0,7329231.0,5878014.0,4978783.0,4514463.0,3178570.0,1423443.0,1474068.0
Total assets,100092042.0,74996394.0,64696280.0,45698113.0,31026824.0,23252244.0,18390264.0,16265073.0,11518701.0,11748478.0
Payables,1798588.0,933998.0,738649.0,611009.0,543696.0,634277.0,512866.0,601002.0,893083.0,584509.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,2503522.0,2138848.0,1996635.0,838525.0,671212.0,781545.0,724528.0,1116239.0,4104359.0,4505650.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,1057979.0,1179848.0,149378.0,49378.0,69130.0,133524.0,437099.0,1197388.0,2028499.0
Tax Liabilities,704934.0,68733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,5340708.0,6417702.0,66290.0,115664.0,233252.0,296300.0,1586321.0,713619.0,1150721.0
Total liabilities,2503522.0,7479556.0,8414337.0,887904.0,769969.0,919805.0,931918.0,1392759.0,4817978.0,5656371.0
Other comprehensive income,25404063,25570123,25663539,25564309,20628815,17350766,17762550,18157687,0.0,0.0
Retained earnings (deficit),72176719.0,41939115.0,30610849.0,19238610.0,9620978.0,4975018.0,-310829.0,-3291904.0,-9893530.0,-8384990.0
Total shareholders equity,97588520.0,67516838.0,56281943.0,44810209.0,30256855.0,22332439.0,17458346.0,14872314.0,6700723.0,6092107.0
Investments,68806977.0,57719945.0,48026242.0,31944083.0,12150436.0,6966964.0,5120000.0,5000000.0,5360970.0,4548541.0
Net Debt,-13176452.0,-7333810.0,-4763364.0,-5137875.0,-9810816.0,-5624860.0,-3383737.0,-3196831.0,-7831822.0,-8498930.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277311.0,480081.0
Other Liabilities,0.0,0.0,0.0,-16911.0,-16907.0,-94992.0,-88910.0,-1309801.0,3211276.0,3921141.0
