Date,2018-12-30,2017-12-31,2017-01-01,2016-01-03,2014-12-28,2013-12-29
Cash and cash equivalents,8783000.0,10711000.0,6632000.0,13424000.0,13301000.0,18069000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,8783000.0,10711000.0,6632000.0,13424000.0,13301000.0,18069000.0
Receivables,1749000.0,1446000.0,1555000.0,418000.0,250000.0,352000.0
Inventories,3134000.0,2804000.0,2538000.0,2198000.0,2306000.0,2112000.0
Total current assets,17465000.0,18730000.0,14373000.0,18979000.0,18860000.0,22016000.0
Property, Plant & Equipment Net,109332000.0,103615000.0,101470000.0,89313000.0,86263000.0,83216000.0
Goodwill and Intangible Assets,41384000.0,40939000.0,40892000.0,40892000.0,40892000.0,40892000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,539000.0,522000.0,0.0,0.0,0.0,0.0
Total non-current assets,157084000.0,150921000.0,148665000.0,136857000.0,132048000.0,129085000.0
Total assets,174549000.0,169651000.0,163038000.0,155836000.0,150908000.0,151101000.0
Payables,6135000.0,6587000.0,6929000.0,6347000.0,5719000.0,4568000.0
Short-term debt,9000000.0,9000000.0,7889000.0,1667000.0,1671000.0,1719000.0
Total current liabilities,33778000.0,30027000.0,27704000.0,22553000.0,22962000.0,21015000.0
Long-term debt,5866000.0,10781000.0,15418000.0,19226000.0,21250000.0,32921000.0
Total debt,14866000.0,19781000.0,23307000.0,20893000.0,22921000.0,34640000.0
Deferred revenue,3946000.0,3695000.0,3400000.0,3214000.0,3466000.0,4031000.0
Tax Liabilities,0.0,2075000.0,4031000.0,5002000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,19112000.0,25763000.0,31014000.0,34480000.0,31057000.0,41631000.0
Total liabilities,52890000.0,55790000.0,58718000.0,57033000.0,54019000.0,62646000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),17528000.0,13495000.0,6161000.0,2321000.0,0.0,
Total shareholders equity,113815000.0,108661000.0,100580000.0,97619000.0,96889000.0,88455000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,6083000.0,9070000.0,16675000.0,7469000.0,9620000.0,16571000.0
Other Assets,3799000.0,3769000.0,3648000.0,2939000.0,3003000.0,1483000.0
Other Liabilities,18643000.0,14440000.0,12886000.0,14539000.0,15572000.0,14728000.0
