Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,902505.0,1276963.0,1139228.0,1372563.0,739297.0,607822.0,523278.0,437828.0,283743.0,362338.0
Stock-based compensation,632805.0,384897.0,304154.0,334386.0,447100.0,331870.0,318215.0,189347.0,170075.0,198220.0
Operating Cash Flow,-11781441.0,-5034515.0,-6704734.0,1792978.0,-3820299.0,2277614.0,761084.0,2268408.0,1016850.0,251927.0
Capital Expenditure,1467192.0,1026954.0,118706.0,480585.0,1452601.0,885609.0,872442.0,726680.0,-182292.0,-376988.0
Acquisitions and disposals,-5491204.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-6958396.0,-1876954.0,-668706.0,-1030585.0,-1452601.0,-885609.0,-872442.0,-726680.0,-182292.0,-376988.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-0.0,-0.0,-133483.0,-53551.0,-54980.0,195947.0,-18926.0
Issuance (buybacks) of shares,14951709.0,-3790302.0,1938934.0,-5376931.0,-4614538.0,-4241813.0,-2951859.0,-3010954.0,37611.0,0.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,27483693.0,134280.0,12550973.0,0.0,237163.0,5306411.0,52263.0,-667125.0,233558.0,-18926.0
Effect of forex changes on cash,-9607.0,13027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,8734249.0,-6764162.0,5177533.0,762393.0,-5035737.0,6698416.0,-59095.0,874603.0,1068116.0,-143987.0
Free Cash Flow,-13248633.0,-6061469.0,-6823440.0,1312393.0,-5272900.0,1392005.0,-111358.0,1541728.0,834558.0,-125061.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,0.0567
