Date,2015-12,2014-12,2013-12,2012-12,2011-12
Revenue,2292000000.0,2211000000.0,1488000000.0,1197000000.0,1141000000.0
Revenue Growth,,,,,
Cost of Revenue,1267000000.0,1218000000.0,841000000.0,696000000.0,676000000.0
Gross Profit,1025000000.0,992000000.0,646000000.0,501000000.0,466000000.0
R&D Expenses,14000000.0,13000000.0,89000000.0,22000000.0,9000000.0
SG&A Expense,426000000.0,421000000.0,287000000.0,225000000.0,220000000.0
Operating Expenses,683000000.0,675000000.0,525000000.0,362000000.0,337000000.0
Operating Income,342000000.0,317000000.0,122000000.0,139000000.0,129000000.0
Interest Expense,245000000.0,253000000.0,170000000.0,94000000.0,96000000.0
Earnings before Tax,57000000.0,49000000.0,-188000000.0,-18000000.0,33000000.0
Income Tax Expense,15000000.0,11000000.0,-55000000.0,5000000.0,2000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,49000000.0,44000000.0,-256000000.0,-32000000.0,-3000000.0
Preferred Dividends,,,,,
Net Income Com,49000000.0,44000000.0,-256000000.0,-32000000.0,-3000000.0
EPS,0.80,0.73,-4.36,-0.52,-0.04
EPS Diluted,0.77,0.71,-4.36,-0.52,-0.04
Weighted Average Shs Out,61000000.0,60000000.0,59000000.0,61000000.0,62000000.0
Weighted Average Shs Out (Dil),63000000.0,62000000.0,59000000.0,61000000.0,62000000.0
Dividend per Share,,,,,
Gross Margin,0.44720767888307,0.4486657620986,0.43413978494624,0.41854636591479,0.40841367221735
EBITDA Margin,0.23734729493892,0.24559023066486,0.096102150537634,0.16040100250627,0.20508326029798
EBIT Margin,0.1348167539267,0.13930348258706,-0.094758064516129,0.055973266499582,0.083260297984224
Profit Margin,0.021378708551483,0.019900497512438,-0.17204301075269,-0.026733500417711,-0.0026292725679229
Free Cash Flow margin,,,,,
EBITDA,544000000.0,543000000.0,143000000.0,192000000.0,234000000.0
EBIT,309000000,308000000,-141000000,67000000,95000000
Consolidated Income,49000000.0,44000000.0,-256000000.0,-32000000.0,-3000000.0
Earnings Before Tax Margin,0.024869109947644,0.022161917684306,-0.12634408602151,-0.015037593984962,0.028921998247152
Net Profit Margin,0.021378708551483,0.019900497512438,-0.17204301075269,-0.026733500417711,-0.0026292725679229
