Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,12349000.0,59537000.0,14636000.0,89713000.0,9319000.0,9319000.0
Short-term investments,111477000.0,28585000.0,0.0,0.0,0.0,0.0
Cash and short-term investments,123826000.0,88122000.0,14636000.0,89713000.0,9319000.0,9319000.0
Receivables,0.0,0.0,0.0,0.0,155000.0,155000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,124338000.0,88589000.0,16063000.0,90542000.0,9617000.0,9617000.0
Property, Plant & Equipment Net,14841000.0,9783000.0,3504000.0,375000.0,116000.0,116000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,16002000.0,11110000.0,3976000.0,375000.0,208000.0,208000.0
Total assets,140340000.0,99699000.0,20039000.0,90917000.0,9825000.0,9825000.0
Payables,2421000.0,2679000.0,988000.0,3687000.0,871000.0,871000.0
Short-term debt,266000.0,425000.0,203000.0,0.0,0.0,0.0
Total current liabilities,8341000.0,9027000.0,4186000.0,5901000.0,2499000.0,2499000.0
Long-term debt,210000.0,466000.0,177000.0,0.0,0.0,0.0
Total debt,476000.0,891000.0,380000.0,0.0,0.0,0.0
Deferred revenue,268000.0,1112000.0,1556000.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7901000.0,5634000.0,7350000.0,0.0,0.0,0.0
Total liabilities,16242000.0,14661000.0,11536000.0,5901000.0,2499000.0,2499000.0
Other comprehensive income,-65000.0,-9000.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-119765000.0,-71654000.0,-31248000.0,-76523000.0,-47951000.0,-47951000.0
Total shareholders equity,124098000.0,85038000.0,8503000.0,85016000.0,-47951000.0,-47951000.0
Investments,111477000.0,28585000.0,0.0,0.0,0.0,0.0
Net Debt,-123350000.0,-87231000.0,-14256000.0,-89713000.0,-9319000.0,-9319000.0
Other Assets,512000.0,467000.0,1427000.0,829000.0,143000.0,143000.0
Other Liabilities,5654000.0,5923000.0,2995000.0,2214000.0,1628000.0,1628000.0
