Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,672000000.0,695000000.0,654000000.0,644000000.0,509000000.0
Short-term investments,000000.0,35000000.0,118000000.0,47000000.0,108000000.0
Cash and short-term investments,000000.0,35000000.0,118000000.0,47000000.0,108000000.0
Receivables,205000000.0,230000000.0,200000000.0,187000000.0,160000000.0
Inventories,000000.0,000000.0,000000.0,000000.0,12000000.0
Total current assets,932000000.0,1045000000.0,1010000000.0,906000000.0,822000000.0
Property, Plant & Equipment Net,154000000.0,165000000.0,176000000.0,180000000.0,148000000.0
Goodwill and Intangible Assets,4020000000,4099000000,5963000000,6117000000,6341000000
Long-term investments,000000.0,27000000.0,16000000.0,37000000.0,31000000.0
Tax assets,000000.0,000000.0,000000.0,000000.0,11000000.0
Total non-current assets,4292000000.0,4439000000.0,6272000000.0,6379000000.0,6559000000.0
Total assets,5224000000.0,5484000000.0,7282000000.0,7285000000.0,7381000000.0
Payables,000000.0,000000.0,000000.0,121000000.0,118000000.0
Short-term debt,220000000.0,7000000.0,80000000.0,1000000.0,78000000.0
Total current liabilities,613000000.0,372000000.0,435000000.0,320000000.0,395000000.0
Long-term debt,267000000.0,704000000.0,555000000.0,620000000.0,664000000.0
Total debt,267000000.0,704000000.0,555000000.0,620000000.0,664000000.0
Deferred revenue,63000000.0,60000000.0,64000000.0,64000000.0,57000000.0
Tax Liabilities,325000000.0,332000000.0,659000000.0,719000000.0,821000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,4275000000.0,4688000000.0,6044000000.0,6157000000.0,6089000000.0
Total liabilities,4888000000.0,5060000000.0,6479000000.0,6477000000.0,6484000000.0
Other comprehensive income,-29000000.0,-23000000.0,-36000000.0,-25000000.0,-12000000.0
Retained earnings (deficit),133000000.0,196000000.0,593000000.0,572000000.0,612000000.0
Total shareholders equity,336000000.0,424000000.0,803000000.0,808000000.0,897000000.0
Investments,000000.0,27000000.0,16000000.0,37000000.0,31000000.0
Net Debt,-185000000,16000000,-19000000,-23000000,233000000
Other Assets,173000000,233000000,155000000,73000000,61000000
Other Liabilities,469000000,493000000,368000000,195000000,175000000
