Date,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,133714000.0,128273000.0,20417000.0,21398000.0,33591534.0,1680000.0,589000.0,769000.0,16422000.0,32469000.0,41215000.0,20417000.0
Short-term investments,0.0,0.0,0.0,0.0,192417.0,601000.0,0.0,4230000.0,11935000.0,44000.0,0.0,0.0
Cash and short-term investments,133714000.0,128273000.0,20417000.0,21398000.0,33783951.0,2281000.0,589000.0,4999000.0,28357000.0,32513000.0,41215000.0,20417000.0
Receivables,2814000.0,1960000.0,4811000.0,1333000.0,4631875.0,16000.0,108000.0,46000.0,886000.0,852000.0,1383000.0,4811000.0
Inventories,0.0,0.0,732000.0,0.0,815179.0,0.0,0.0,0.0,739000.0,555000.0,499000.0,732000.0
Total current assets,140434000.0,133691000.0,37284000.0,24743000.0,41770549.0,30426000.0,738000.0,8582000.0,32087000.0,35298000.0,43608000.0,28161815.0
Property, Plant & Equipment Net,130580000.0,115856000.0,29153000.0,10993000.0,25913983.0,455000.0,148000.0,37073000.0,47974000.0,37180000.0,40444000.0,29153000.0
Goodwill and Intangible Assets,0.0,0.0,4695000.0,0.0,4695204.0,500000.0,0.0,500000.0,1174000.0,2174000.0,2174000.0,4695000.0
Long-term investments,49875000.0,0.0,238000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0
Tax assets,0.0,0.0,,0.0,,0.0,0.0,7217000.0,5951000.0,0.0,5451885.0,6272301.0
Total non-current assets,268114000.0,143132000.0,,1124000.0,,38118000.0,49348000.0,46974000.0,48966000.0,34290000.0,48935836.0,11809401.0
Total assets,408548000.0,276823000.0,71574000.0,39078000.0,90706385.0,31550000.0,1137000.0,46700000.0,81435000.0,82272000.0,92574000.0,71574000.0
Payables,11597000.0,11462000.0,3861000.0,323000.0,2387857.0,791000.0,461000.0,298000.0,5438000.0,5888000.0,7744000.0,3861000.0
Short-term debt,0.0,0.0,553000.0,0.0,921585.0,783000.0,0.0,0.0,0.0,441000.0,530000.0,553000.0
Total current liabilities,52770000.0,52298000.0,6469000.0,24726000.0,6112903.0,15038000.0,552000.0,4654000.0,6533000.0,5824000.0,7531000.0,6469000.0
Long-term debt,57048000.0,0.0,870000.0,0.0,232430.0,0.0,0.0,0.0,0.0,0.0,390000.0,870000.0
Total debt,57048000.0,0.0,,783000.0,,0.0,0.0,441000.0,920000.0,1423000.0,1154015.0,0.0
Deferred revenue,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1701752.0,3977959.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,57844000.0,638000.0,,23501000.0,,34101000.0,28985000.0,34008000.0,12135000.0,12577000.0,10775298.0,11809401.0
Total liabilities,110614000.0,52936000.0,19046000.0,33479000.0,16888201.0,38539000.0,552000.0,38755000.0,35518000.0,39832000.0,19666000.0,19046000.0
Other comprehensive income,0.0,0.0,,4912000.0,,5302000.0,-2009000.0,10526000.0,11207000.0,12470000.0,3116263.0,1979763.0
Retained earnings (deficit),-453859000.0,-328114000.0,-56073000.0,-96655000.0,-23640191.0,-96234000.0,563000.0,-81006000.0,-36266000.0,-50079000.0,-29590000.0,-56073000.0
Total shareholders equity,297934000.0,223887000.0,50539000.0,5594000.0,71904492.0,-6989000.0,585000.0,7945000.0,45917000.0,42440000.0,72908000.0,50539000.0
Investments,49875000.0,0.0,238000.0,4592000.0,192417.0,601000.0,4592000.0,4230000.0,11935000.0,44000.0,0.0,238000.0
Net Debt,-76666000.0,-128273000.0,-18994000.0,-21398000.0,-32629936.0,-1498000.0,-3124000.0,-4999000.0,-28357000.0,-32072000.0,-40295000.0,-18994000.0
Other Assets,3906000.0,3458000.0,11324000.0,2012000.0,2539544.0,28129000.0,5137000.0,3537000.0,2105000.0,1378000.0,511000.0,11324000.0
Other Liabilities,41173000.0,40836000.0,2055000.0,24403000.0,2803461.0,13464000.0,91000.0,4356000.0,1095000.0,-505000.0,-743000.0,2055000.0
