Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,5355000.0,2538000.0,6068000.0,4322000.0,9992477.0
Short-term investments,15841000.0,472000.0,1730000.0,0.0,7933752.0
Cash and short-term investments,21196000.0,3010000.0,7798000.0,4322000.0,17926229.0
Receivables,15103000.0,12289000.0,847000.0,6627000.0,9550159.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,43107000.0,18620000.0,16823000.0,44892000.0,59176528.0
Property Plant & Equipment Net,690759000.0,556171000.0,439228000.0,490323000.0,483445288.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,7302000.0,0.0,0.0,0.0,0.0
Tax assets,26773000.0,26016000.0,27581000.0,0.0,0.0
Total non-current assets,701005000.0,573188000.0,442286000.0,494844000.0,499892894.0
Total assets,744112000.0,591808000.0,459109000.0,539736000.0,559069422.0
Payables,18260000.0,25901000.0,14894000.0,18072000.0,30842268.0
Short-term debt,0.0,0.0,224000.0,0.0,0.0
Total current liabilities,60021000.0,63956000.0,32753000.0,30343000.0,47408898.0
Long-term debt,436882000.0,301155000.0,204122000.0,301926000.0,264613529.0
Total debt,436882000.0,301155000.0,204346000.0,301926000.0,264613529.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,441000.0,1147000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,453273000.0,307240000.0,248194000.0,326427000.0,303958888.0
Total liabilities,521565000.0,388118000.0,292714000.0,356770000.0,351367786.0
Other comprehensive income,174379000,174871000,87260000,-760000.0,-772633.0
Retained earnings (deficit),-94487000.0,-113836000.0,-63517000.0,30818000.0,58151456.0
Total shareholders equity,222547000.0,203690000.0,166395000.0,182966000.0,207701636.0
Investments,23143000.0,472000.0,1730000.0,0.0,7933752.0
Net Debt,431527000.0,298617000.0,198278000.0,297604000.0,246687300.0
Other Assets,0.0,0.0,0.0,33943000.0,31700140.0
Other Liabilities,8271000.0,16922000.0,11767000.0,12271000.0,16566630.0
