Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,7592000.0,21848000.0,27825000.0,19342000.0,36202000.0,98445000.0,2802000.0,3496000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,7592000.0,21848000.0,27825000.0,19342000.0,36202000.0,98445000.0,2802000.0,3496000.0
Receivables,6695000.0,8647000.0,6447000.0,9368000.0,14238000.0,9042000.0,8413000.0,1335000.0
Inventories,15930000.0,15430000.0,15838000.0,19839000.0,17014000.0,12764000.0,7485000.0,4431000.0
Total current assets,34203000.0,47965000.0,51599000.0,51467000.0,70592000.0,123548000.0,20243000.0,10116000.0
Property Plant & Equipment Net,41906000.0,46797000.0,51134000.0,54832000.0,55298000.0,32772000.0,12467000.0,7919000.0
Goodwill and Intangible Assets,0.0,62000.0,0.0,0.0,4665000.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,1203000.0,1229000.0,1813000.0,1762000.0,471000.0,60000.0,178000.0,374000.0
Total non-current assets,43479000.0,47595000.0,52579000.0,56491000.0,62838000.0,34887000.0,12832000.0,8499000.0
Total assets,77682000.0,95560000.0,104178000.0,107958000.0,133430000.0,158435000.0,33075000.0,18615000.0
Payables,4376000.0,4291000.0,2036000.0,3231000.0,2553000.0,1748000.0,3888000.0,864000.0
Short-term debt,144000.0,137000.0,132000.0,138000.0,132000.0,127000.0,12142000.0,1294000.0
Total current liabilities,12912000.0,18806000.0,14735000.0,16964000.0,12357000.0,8734000.0,24925000.0,11095000.0
Long-term debt,1364000.0,1508000.0,1644000.0,1812000.0,1950000.0,2082000.0,7618000.0,4135000.0
Total debt,1508000.0,1645000.0,1776000.0,1950000.0,2082000.0,2209000.0,19760000.0,5429000.0
Deferred revenue,2343000.0,8282000.0,7371000.0,7103000.0,902000.0,916000.0,4281000.0,4938000.0
Tax Liabilities,90000.0,0.0,0.0,0.0,306000.0,768000.0,178000.0,374000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1996000.0,1545000.0,1663000.0,1921000.0,2528000.0,2526000.0,8109000.0,23119000.0
Total liabilities,14907000.0,20351000.0,16398000.0,18885000.0,14885000.0,11735000.0,33034000.0,34214000.0
Other comprehensive income,175214000,173718000,171116000,156627000,154902000,153363000,-174000.0,-220000.0
Retained earnings (deficit),-101853000.0,-89186000.0,-68761000.0,-54163000.0,-28298000.0,-6455000.0,-31355000.0,-27485000.0
Total shareholders equity,62775000.0,75209000.0,87780000.0,89073000.0,118545000.0,146700000.0,-2545000.0,-17705000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-6084000.0,-20203000.0,-26049000.0,-17392000.0,-34120000.0,-96236000.0,16958000.0,1933000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,1543000.0,854000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,475000.0,8895000.0,8937000.0
