Date,2019-05-31,2018-05-31,2017-05-31,2016-05-31,2015-05-31,2014-05-31,2013-05-31,2012-05-31,2011-05-31,2010-05-31,2009-05-31
Cash and cash equivalents,1335000.0,5324000.0,11974000.0,21713000.0,23300000.0,4154000.0,11130000.0,15658000.0,25716000.0,8695000.0,3508000.0
Short-term investments,0.0,0.0,4183000.0,4117000.0,4102000.0,15435000.0,20748000.0,14917000.0,19085000.0,11109000.0,4417000.0
Cash and short-term investments,1335000.0,5324000.0,16157000.0,25830000.0,27402000.0,19589000.0,31878000.0,30575000.0,44801000.0,19804000.0,7925000.0
Receivables,747000.0,1965000.0,3353000.0,3386000.0,15553000.0,16823000.0,4350000.0,3170000.0,2435000.0,2775000.0,1410000.0
Inventories,414000.0,926000.0,850000.0,933000.0,697000.0,1056000.0,2090000.0,2985000.0,4033000.0,4278000.0,4718000.0
Total current assets,3092000.0,10437000.0,23460000.0,34074000.0,47441000.0,40280000.0,38544000.0,37252000.0,51835000.0,26832000.0,17426000.0
Property, Plant & Equipment Net,15876000.0,25228000.0,31318000.0,31273000.0,36390000.0,43258000.0,44944000.0,40496000.0,21265000.0,15881000.0,12152000.0
Goodwill and Intangible Assets,1860000.0,2285000.0,1111000.0,817000.0,804000.0,1000000.0,1107000.0,1241000.0,956000.0,768000.0,767000.0
Long-term investments,15625000.0,9250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,6000.0,105000.0,2301000.0,3211000.0,2335000.0,1688000.0,1475000.0,2888000.0,2983000.0,1574000.0,1090000.0
Total non-current assets,34953000.0,38370000.0,34132000.0,34452000.0,39103000.0,48177000.0,49538000.0,45846000.0,26103000.0,20454000.0,8825000.0
Total assets,38045000.0,48807000.0,57592000.0,68526000.0,86544000.0,88457000.0,88082000.0,83098000.0,77938000.0,47286000.0,28865000.0
Payables,2763000.0,1496000.0,3076000.0,2913000.0,3246000.0,3411000.0,6470000.0,4834000.0,4830000.0,4637000.0,3878000.0
Short-term debt,1232000.0,1180000.0,331000.0,285000.0,244000.0,206000.0,66000.0,40000.0,0.0,0.0,5452000.0
Total current liabilities,14086000.0,11089000.0,12211000.0,11908000.0,12835000.0,14566000.0,14701000.0,12667000.0,12358000.0,22398000.0,15148000.0
Long-term debt,26125000.0,18057000.0,11237000.0,11567000.0,11853000.0,12097000.0,10394000.0,10460000.0,0.0,0.0,6507000.0
Total debt,27357000.0,19237000.0,11568000.0,11852000.0,12097000.0,12303000.0,10460000.0,10500000.0,0.0,0.0,11959000.0
Deferred revenue,2798000.0,2026000.0,1691000.0,1649000.0,1459000.0,1310000.0,195000.0,236000.0,294000.0,305000.0,367000.0
Tax Liabilities,31000.0,70000.0,307000.0,110000.0,3284000.0,5326000.0,5720000.0,5098000.0,2827000.0,1382000.0,2054000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,32117000.0,20745000.0,15441000.0,16253000.0,21183000.0,22696000.0,22593000.0,19719000.0,7075000.0,3531000.0,8825000.0
Total liabilities,46203000.0,31834000.0,27652000.0,28161000.0,34018000.0,37262000.0,37294000.0,32386000.0,19433000.0,25929000.0,23973000.0
Other comprehensive income,0.0,0.0,-4000.0,-2000.0,-1000.0,-3000.0,7000.0,25000.0,72000.0,96000.0,109000.0
Retained earnings (deficit),-45209000.0,-19873000.0,-6622000.0,4012000.0,13751000.0,11573000.0,12610000.0,11239000.0,9549000.0,2389000.0,7251000.0
Total shareholders equity,-8240000.0,16939000.0,29956000.0,40429000.0,52634000.0,51341000.0,50917000.0,50881000.0,58762000.0,21652000.0,5876000.0
Investments,15625000.0,9250000.0,4183000.0,4117000.0,4102000.0,15435000.0,20748000.0,14917000.0,19085000.0,11109000.0,4417000.0
Net Debt,26022000.0,13913000.0,-4589000.0,-13978000.0,-15305000.0,-7286000.0,-21418000.0,-20075000.0,-44801000.0,-19804000.0,4034000.0
Other Assets,596000.0,2222000.0,3100000.0,3925000.0,3789000.0,2812000.0,226000.0,522000.0,566000.0,-25000.0,-2614000.0
Other Liabilities,10091000.0,8413000.0,8804000.0,8710000.0,9345000.0,10949000.0,8165000.0,7793000.0,7528000.0,17761000.0,5818000.0
