Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-10-31
Depreciation & Amortization,39726000.0,32202000.0,30707000.0,28800000.0,21057000.0,13359000.0,10634000.0,12123000.0,14999000.0,16403000.0,17574000.0
Stock-based compensation,247700000.0,116349000.0,81879000.0,69996000.0,65246000.0,78118000.0,35765000.0,33494000.0,28765000.0,26503000.0,25933000.0
Operating Cash Flow,843515000.0,493527000.0,407903000.0,261305000.0,212814000.0,700262000.0,-4567000.0,-84964000.0,134798000.0,-135702000.0,-210204000.0
Capital Expenditure,-66969000.0,-61557000.0,-21167000.0,-37280000.0,-49501000.0,-29813000.0,-16820000.0,-10786000.0,-9653000.0,-9933000.0,-11176000.0
Acquisitions and disposals,-28149000.0,-35366000.0,-130669000.0,0.0,0.0,0.0,0.0,-4101000.0,2075000.0,-4292000.0,-5813000.0
Investment purchases and sales,-128458000.0,-174904000.0,22806000.0,-286887000.0,-170640000.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-223576000.0,-271827000.0,-129030000.0,-324516000.0,-220141000.0,-30813000.0,-16820000.0,-14162000.0,-7578000.0,23025000.0,-16989000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,0.0,117189000.0,0.0,243125000.0,0.0,63016000.0,63016000.0
Issuance (buybacks) of shares,-362392000.0,-154792000.0,0.0,-26552000.0,0.0,-276836000.0,0.0,239000.0,734000.0,18000.0,22000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-463685000.0,-281467000.0,-49772000.0,-48047000.0,928000.0,-133684000.0,0.0,243364000.0,734000.0,45784000.0,45788000.0
Effect of forex changes on cash,-10639000.0,24924000.0,-7798000.0,-1120000.0,-17881000.0,-2867000.0,3610000.0,-4318000.0,6567000.0,8593000.0,3211000.0
Net cash flow / Change in cash,145615000.0,-34843000.0,221303000.0,-112378000.0,-24280000.0,532898000.0,-17777000.0,139920000.0,134521000.0,-58300000.0,-178194000.0
Free Cash Flow,776546000.0,431970000.0,386736000.0,224025000.0,163313000.0,670449000.0,-21387000.0,-95750000.0,125145000.0,-145635000.0,-221380000.0
Net Cash/Marketcap,0.1973,0.1689,0.2459,0.3233,0.37,0.3141,0.0514,0.0752,0.1317,0.0551,0.0057
