Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-12-28,2012-12-31,2012-12-28,2011-12-28
Revenue,512980000.0,375612000.0,270967000.0,181943000.0,115876000.0,77634000.0,51604000.0,28553000.0,,
Revenue Growth,0.3657,0.3862,0.4893,0.5702,0.4926,0.5044,0.8073,,,
Cost of Revenue,100357000.0,75729000.0,61865000.0,47923000.0,35080000.0,27504000.0,16838000.0,12080000.0,,
Gross Profit,412623000.0,299883000.0,209102000.0,134020000.0,80796000.0,50130000.0,50130000.0,34766000.0,34766000.0,16473000.0
R&D Expenses,117603000.0,70373000.0,45997000.0,32457000.0,25638000.0,15018000.0,10585000.0,10031000.0,,
SG&A Expense,343278000.0,269646000.0,207767000.0,148037000.0,103767000.0,69362000.0,42921000.0,30857000.0,,
Operating Expenses,460881000.0,340019000.0,253764000.0,180494000.0,129405000.0,84380000.0,84380000.0,53506000.0,53506000.0,40888000.0
Operating Income,-48258000.0,-40136000.0,-44662000.0,-46474000.0,-48609000.0,-34250000.0,-34250000.0,-18740000.0,-18740000.0,-24415000.0
Interest Expense,21386000.0,13181000.0,265000.0,185000.0,322000.0,20000.0,20000.0,63000.0,63000.0,30000.0
Earnings before Tax,-61960000.0,-50039000.0,-45029000.0,-45641000.0,-48321000.0,-34274000.0,-18778000.0,-24411000.0,,
Income Tax Expense,1868000.0,-10325000.0,533000.0,412000.0,-92000.0,0.0,0.0,0.0,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-63828000.0,-39714000.0,-45562000.0,-46053000.0,-48229000.0,-34274000.0,-18778000.0,-24411000.0,,
Preferred Dividends,0.0,0.0,0.0,0.0,331000.0,54000.0,54000.0,81000.0,81000.0,1060000.0
Net Income Com,-63828000.0,-39714000.0,-45562000.0,-46053000.0,-48560000.0,-34328000.0,-18859000.0,-25471000.0,,
EPS,-1.66,-1.08,-1.29,-1.39,-4.2,-6.71,-4.01,-6.19,,
EPS Diluted,-1.66,-1.08,-1.29,-1.39,-4.2,-6.71,-4.01,-6.19,,
Weighted Average Shs Out,39232269.0,37371546.0,35608553.0,34096619.0,31390213.0,,,,,
Weighted Average Shs Out (Dil),38529000.0,36827000.0,35197000.0,33222000.0,11562000.0,5113000.0,5113000.0,4699000.0,4699000.0,4115000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.8044,0.7984,0.7717,0.7366,0.6973,0.6457,0.6737,0.5769,,
EBITDA Margin,-0.033,-0.056,-0.124,-0.209,-0.365,-0.384,-0.384,-0.31,-0.31,-0.788
EBIT Margin,-0.0791,-0.0981,-0.1652,-0.2498,-0.4142,-0.4412,-0.3627,-0.8539,,
Profit Margin,-0.124,-0.106,-0.168,-0.253,-0.419,-0.442,-0.442,-0.365,-0.365,-0.892
Free Cash Flow margin,0.1002,0.0593,-0.008,-0.0724,-0.2103,-0.3555,-0.1626,-0.5388,,
EBITDA,-17146000.0,-21072000.0,-33587000.0,-38113000.0,-42285000.0,-29782000.0,-15979000.0,-22490000.0,,
EBIT,-40574000.0,-36858000.0,-44764000.0,-45456000.0,-47999000.0,-34254000.0,-34254000.0,-18715000.0,-18715000.0,-24381000.0
Consolidated Income,-63828000.0,-39714000.0,-45562000.0,-46053000.0,-48229000.0,-34274000.0,-18778000.0,-24411000.0,,
Earnings Before Tax Margin,-0.1208,-0.1332,-0.1662,-0.2509,-0.417,-0.4415,-0.3639,-0.8549,,
Net Profit Margin,-0.1244,-0.1057,-0.1681,-0.2531,-0.4162,-0.4415,-0.3639,-0.8549,,
